#timestamp [ns],tx,ty,tz,qw,qx,qy,qz
1551964934671707521,0.12588329,0.27117802,0.0770156,0.0517093200181304,0.0114572630040171,-0.1505680690527926,0.9871798893461275
1551964934751707521,0.12843098,0.2711891319999999,0.0768954669999999,0.05127833197597,0.0141762469933567,-0.1517089889289065,0.9869923755374782
1551964934831707521,0.130351823,0.270750284,0.076751624,0.0492741760076662,0.0156607160024365,-0.1526912290237563,0.9869205571535488
1551964934911707521,0.131305586,0.268939666,0.0762079249999999,0.0464168050021877,0.0155474240007327,-0.1529243770072076,0.9870247680465206
1551964934991707521,0.132569249,0.270908499,0.076763484,0.0458636240140698,0.0160362800049195,-0.1536669390471413,0.986927473302766
1551964935071707521,0.13269612,0.270741453,0.077025095,0.0475685749821839,0.0154493819942136,-0.1537300689424227,0.9868462966303916
1551964935151707521,0.13253228,0.271537711,0.078584122,0.0494760289854154,0.0125667589962955,-0.1554054719541894,0.98653096170919
1551964935231707521,0.1319481459999999,0.271075936,0.0797724159999999,0.0464484790046039,0.0125213770012411,-0.1576671960156279,0.9863198310977636
1551964935311707521,0.129589217,0.273100838,0.084808087,0.0360996410027125,0.0098649810007412,-0.1546244470116185,0.9872642900741834
1551964935391707521,0.129370158,0.2745669519999999,0.091327738,0.0334259640022463,0.0114563510007699,-0.1521797070102272,0.9877210100663796
1551964935471707521,0.1291247319999999,0.282340533,0.103286769,0.0370213919931286,0.0236661229956074,-0.1530348019715959,0.9872434758167624
1551964935551707521,0.126948888,0.289236816,0.1166586589999999,0.0358737720174767,0.0364264270177459,-0.1491043310726396,0.9874989044810832
1551964935631707521,0.126234262,0.299553314,0.131750421,0.0319367910057711,0.0478637900086492,-0.1450869510262181,0.9877443371784916
1551964935711707521,0.120487695,0.3104550979999999,0.147611085,0.0304075039898241,0.0618932859792875,-0.1384858259536559,0.9879606676693808
1551964935791707521,0.110822212,0.3211577689999999,0.1620646619999999,0.0312409709955014,0.0684412319901446,-0.1363814189803615,0.9877954788577604
1551964935871707521,0.101100726,0.3316490469999999,0.1721183219999999,0.0346842149997855,0.0676857909995814,-0.1368498689991538,0.9876678349938932
1551964935951707521,0.0900031959999999,0.345328573,0.177386584,0.0330068379964934,0.056458058994002,-0.1303628269861505,0.9893071158948984
1551964936031707521,0.0746124819999999,0.3529247939999999,0.173725066,0.0343248209881292,0.045865662984138,-0.1227476079575494,0.9907831106573518
1551964936111707521,0.0626298639999999,0.357647307,0.1611804259999999,0.0432230020005495,0.0353811070004498,-0.1189263880015121,0.9913306530126044
1551964936191707521,0.0519034449999999,0.3541659859999999,0.142327895,0.0548452630134382,0.0302210620074047,-0.1082963260265348,0.9921444402430956
1551964936271707521,0.04541308,0.348516806,0.120678795,0.0666362490219692,0.0301287500099331,-0.0989442460326209,0.9924020883271846
1551964936351707521,0.0390707969999999,0.335672287,0.09857551,0.0656446160240096,0.0292423970106954,-0.0986314680360746,0.9925258183630176
1551964936431707521,0.030696508,0.3214350049999999,0.077557711,0.0599434740110959,0.0317033350058684,-0.099450798018409,0.9927291761837608
1551964936511707521,0.0218536559999999,0.3056867529999999,0.0596114309999999,0.062861783978875,0.0411741659861632,-0.0952989469679743,0.9926082786664296
1551964936591707521,0.008698252,0.2929717119999999,0.044322024,0.067028185002449,0.0481387610017588,-0.0939653860034332,0.9921493780362504
1551964936671707521,-0.007888924,0.278190606,0.032746189,0.0674693090098204,0.0494010560071905,-0.0928825740135195,0.9921593901444136
1551964936751707521,-0.0256662159999999,0.263015056,0.022644804,0.0662205250178727,0.0486695350131357,-0.0989207270266984,0.9916959252676558
1551964936831707521,-0.047720405,0.248876447,0.0143559169999999,0.0635165230186292,0.0437593820128345,-0.1028015080301513,0.9917069212908648
1551964936911707521,-0.069401028,0.2352306329999999,0.007464786,0.0635569040020609,0.0364187200011809,-0.1008064110032687,0.9922057570321736
1551964936991707521,-0.0860332719999999,0.2253644039999999,0.001447241,0.0668076979863804,0.033674603993135,-0.0940563589808254,0.9927518087976148
1551964937071707521,-0.102138328,0.213658326,-0.005186793,0.0683181399679242,0.0329768679845171,-0.0905796709574722,0.9929957105337824
1551964937151707521,-0.116268618,0.199166691,-0.01309454,0.0639714909722721,0.029261009987317,-0.0865488199624862,0.9937609085692634
1551964937231707521,-0.127474421,0.189396379,-0.0214856419999999,0.0566613789873532,0.0230524299948547,-0.0856654449808796,0.9944443197780414
1551964937311707521,-0.1387019419999999,0.173128107,-0.0307462499999999,0.0511982359978262,0.0122636679994793,-0.0813184159965474,0.9952967689577424
1551964937391707521,-0.146473132,0.160196577,-0.041620205,0.0507007850063061,-0.005773232000718,-0.071113169008845,0.996162144123902
1551964937471707521,-0.148589997,0.1467672989999999,-0.051929952,0.0489594429812232,-0.0188310209927779,-0.0620042819762203,0.9966964606177506
